ID,Marked,Frame0,Frame1,Frame2,Frame3,Frame4,Frame5,Frame6,Frame7,Frame8,Frame9,Frame10,Frame11,Frame12,Frame13,Frame14,Frame15
00360f79fd6e02781457eda48f85da90,1,N/M,N/M,N/M,"[[(353, 531), (375, 566)]]","[[(316, 529), (338, 574)]]","[[(266, 530), (302, 572)]]","[[(214, 525), (270, 576)]]","[[(160, 518), (233, 581)]]","[[(146, 530), (198, 580)]]","[[(133, 530), (170, 578)]]","[[(137, 530), (158, 581)]]",N/M,N/M,N/M,N/M,N/M
0043db5e8c819bffc15261b1f1ac5e42,1,"[[(324, 517), (395, 594)], [(212, 387), (287, 429)]]","[[(325, 511), (398, 592)], [(199, 388), (272, 431)]]","[[(322, 510), (382, 597)], [(202, 385), (267, 431)]]","[[(312, 519), (351, 597)], [(207, 384), (264, 434)]]",N/M,N/M,N/M,N/M,N/M,N/M,N/M,"[[(271, 173), (334, 243)]]","[[(219, 177), (254, 234)]]","[[(150, 172), (195, 226)], [(229, 524), (261, 597)], [(263, 389), (306, 441)]]","[[(103, 173), (180, 244)], [(252, 384), (305, 451)], [(271, 518), (330, 594)]]","[[(74, 173), (158, 249)], [(235, 385), (298, 433)], [(309, 511), (370, 591)]]"
0050492f92e22eed3474ae3a6fc907fa,1,"[[(124, 442), (212, 513)], [(308, 584), (340, 654)]]","[[(151, 443), (195, 513)], [(316, 587), (341, 654)]]","[[(173, 440), (205, 509)], [(313, 585), (336, 644)]]","[[(306, 585), (321, 638)]]",N/M,N/M,"[[(165, 143), (212, 183)]]","[[(191, 587), (246, 657)], [(190, 141), (133, 188)]]","[[(186, 145), (119, 186)], [(178, 589), (222, 656)]]","[[(332, 438), (363, 511)], [(160, 588), (200, 658)], [(178, 146), (120, 189)]]","[[(312, 442), (344, 516)], [(152, 595), (187, 660)]]","[[(274, 437), (330, 509)], [(165, 598), (202, 657)]]","[[(237, 435), (299, 505)]]","[[(194, 443), (266, 508)], [(222, 585), (257, 639)]]","[[(157, 444), (230, 506)], [(256, 587), (289, 652)]]","[[(139, 434), (210, 509)]]"
006ec59fa59dd80a64c85347eef810c7,1,N/M,N/M,N/M,N/M,"[[(319, 150), (367, 204)]]","[[(234, 152), (299, 202)]]","[[(157, 150), (236, 209)]]","[[(96, 150), (175, 206)]]","[[(63, 152), (125, 201)]]",N/M,N/M,N/M,N/M,N/M,N/M,N/M
0097503ee9fa0606559c56458b281a08,1,"[[(126, 583), (158, 636)]]","[[(154, 585), (178, 630)]]",N/M,N/M,N/M,"[[(361, 587), (390, 631)]]","[[(377, 586), (400, 635)]]","[[(366, 583), (401, 631)]]","[[(350, 585), (380, 628)]]","[[(305, 585), (352, 633)]]","[[(258, 586), (318, 635)]]","[[(207, 589), (272, 629)]]","[[(156, 585), (223, 633)]]","[[(141, 589), (194, 634)]]","[[(129, 586), (150, 633)]]","[[(122, 584), (146, 633)]]"
011516ab0eca7cad7f5257672ddde70e,1,"[[(101, 135), (150, 185)]]","[[(122, 134), (167, 185)]]","[[(150, 129), (194, 170)]]",N/M,N/M,N/M,N/M,N/M,"[[(359, 134), (412, 195)]]","[[(339, 130), (399, 193)]]","[[(313, 125), (372, 193)]]","[[(283, 131), (339, 188)]]","[[(245, 140), (273, 168)]]","[[(186, 134), (225, 176)]]","[[(141, 131), (180, 183)]]",N/M
01941f33fd090ae5df8c95992c027862,1,"[[(130, 528), (198, 601)], [(218, 315), (280, 371)]]","[[(189, 319), (256, 361)], [(152, 543), (215, 596)]]","[[(175, 321), (234, 368)], [(193, 541), (253, 595)]]","[[(167, 318), (220, 361)], [(243, 534), (292, 600)]]",N/M,"[[(330, 435), (371, 515)]]","[[(342, 430), (383, 530)], [(274, 432), (334, 477)]]","[[(337, 440), (384, 520)], [(272, 429), (339, 481)]]","[[(312, 429), (381, 517)], [(262, 429), (315, 482)]]","[[(286, 437), (335, 517)], [(254, 430), (279, 467)]]","[[(235, 443), (291, 512)]]","[[(218, 440), (243, 510)]]","[[(174, 441), (201, 513)]]","[[(146, 440), (186, 515)], [(300, 321), (346, 364)], [(178, 535), (203, 587)]]","[[(290, 325), (331, 372)], [(142, 523), (195, 602)]]","[[(124, 516), (188, 594)]]"
01c08047f617de893bef104fb309203a,1,N/M,N/M,N/M,N/M,N/M,"[[(267, 526), (318, 583)]]","[[(236, 534), (297, 580)]]","[[(178, 528), (250, 579)], [(402, 198), (345, 243)]]","[[(150, 532), (202, 582)], [(403, 197), (322, 264)]]","[[(132, 536), (165, 579)], [(374, 196), (279, 261)]]","[[(315, 193), (233, 260)]]","[[(254, 201), (197, 257)]]","[[(188, 208), (151, 263)]]","[[(123, 204), (148, 266)]]","[[(88, 215), (128, 272)]]",N/M
0240c8f1e89e855dcd8f1fa6b1e2b944,1,"[[(321, 555), (368, 624)], [(321, 146), (384, 177)]]","[[(314, 145), (374, 177)], [(322, 552), (381, 625)]]","[[(296, 142), (342, 181)]]","[[(277, 145), (298, 185)]]",N/M,N/M,"[[(238, 625), (276, 558)]]","[[(192, 625), (236, 557)]]","[[(152, 626), (206, 559)]]","[[(133, 624), (188, 561)]]","[[(132, 560), (175, 625)]]","[[(156, 565), (183, 626)]]",N/M,"[[(220, 559), (254, 624)]]","[[(254, 560), (301, 621)]]",N/M
0322661ef29f9c81af295cf40f758469,1,N/M,N/M,N/M,N/M,N/M,N/M,N/M,"[[(315, 380), (384, 433)]]","[[(280, 384), (358, 429)]]","[[(230, 385), (306, 433)]]","[[(188, 383), (255, 431)]]","[[(209, 380), (153, 431)]]","[[(172, 385), (137, 429)]]",N/M,N/M,N/M
