Fid,RBp,RFm,LBp,LFm,UCh,RAb,LAb,URTh,Gr,ULTh,LRTh,LLTh,RCf,LCf,RAk,LAk,UBk
y,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
0,"['RSh', 'REb']","['REb', 'RWr']","['LSh', 'LEb']","['LEb', 'LWr']","[['RSh', 'LSh'], ['RHp', 'LHp']]","[['RSh', 'Nk'], ['RHp', 'MHp']]","[['LSh', 'Nk'], ['LHp', 'MHp']]","['RHp', 'RKe']","[['RHp', 'LHp'], ['RKe', 'LKe']]","['LHp', 'LKe']","['RHp', 'RKe']","['LHp', 'LKe']","['RKe', 'RAk']","['LKe', 'LAk']","['RKe', 'RAk']","['LKe', 'LAk']",None
1,None,None,"['LSh', 'LEb']","['LEb', 'LWr']","[['RSh', 'LSh'], ['RHp', 'LHp']]",None,"[['LSh', 'Nk'], ['LHp', 'MHp']]",None,"[['RHp', 'LHp'], ['RKe', 'LKe']]","['LHp', 'LKe']","['RHp', 'RKe']","['LHp', 'LKe']","['RKe', 'RAk']","['LKe', 'LAk']","['RKe', 'RAk']","['LKe', 'LAk']",None
2,None,None,"['LSh', 'LEb']","['LEb', 'LWr']","[['RSh', 'LSh'], ['RHp', 'LHp']]",None,"[['RSh', 'LSh'], ['RHp', 'LHp']]",None,None,"['LHp', 'LKe']","['RHp', 'RKe']","['LHp', 'LKe']","['RKe', 'RAk']","['LKe', 'LAk']","['RKe', 'RAk']","['LKe', 'LAk']",None
3,None,None,"['LSh', 'LEb']","['LEb', 'LWr']",None,None,"['Nk', 'MHp']",None,None,"['LHp', 'LKe']",None,"['LHp', 'LKe']",None,"['LKe', 'LAk']",None,"['LKe', 'LAk']",None
4,None,None,None,None,None,None,"['Nk', 'MHp']",None,None,"['LHp', 'LKe']",None,"['LHp', 'LKe']",None,"['LKe', 'LAk']",None,"['LKe', 'LAk']",None
5,None,None,"['LSh', 'LEb']","['LEb', 'LWr']",None,None,"['Nk', 'MHp']",None,None,"['LHp', 'LKe']",None,"['LHp', 'LKe']",None,"['LKe', 'LAk']",None,"['LKe', 'LAk']",None
6,None,None,"['LSh', 'LEb']","['LEb', 'LWr']",None,None,"[['RSh', 'LSh'], ['RHp', 'LHp']]",None,None,"['LHp', 'LKe']",None,"['LHp', 'LKe']",None,"['LKe', 'LAk']",None,"['LKe', 'LAk']",None
7,None,None,"['LSh', 'LEb']","['LEb', 'LWr']",None,None,"[['LSh', 'Nk'], ['LHp', 'MHp']]",None,"[['RHp', 'LHp'], ['RKe', 'LKe']]","['LHp', 'LKe']","['RHp', 'RKe']","['LHp', 'LKe']","['RKe', 'RAk']","['LKe', 'LAk']","['RKe', 'RAk']","['LKe', 'LAk']","[['RSh', 'LSh'], ['RHp', 'LHp']]"
8,"['RSh', 'REb']","['REb', 'RWr']","['LSh', 'LEb']","['LEb', 'LWr']",None,"[['RSh', 'Nk'], ['RHp', 'MHp']]","[['LSh', 'Nk'], ['LHp', 'MHp']]","['RHp', 'RKe']","[['RHp', 'LHp'], ['RKe', 'LKe']]","['LHp', 'LKe']","['RHp', 'RKe']","['LHp', 'LKe']","['RKe', 'RAk']","['LKe', 'LAk']","['RKe', 'RAk']","['LKe', 'LAk']","[['RSh', 'LSh'], ['RHp', 'LHp']]"
9,"['RSh', 'REb']","['REb', 'RWr']",None,None,None,"[['RSh', 'Nk'], ['RHp', 'MHp']]",None,"['RHp', 'RKe']","[['RHp', 'LHp'], ['RKe', 'LKe']]",None,"['RHp', 'RKe']","['LHp', 'LKe']","['RKe', 'RAk']","['LKe', 'LAk']","['RKe', 'RAk']","['LKe', 'LAk']","[['RSh', 'LSh'], ['RHp', 'LHp']]"
10,"['RSh', 'REb']","['REb', 'RWr']",None,None,None,"[['RSh', 'LSh'], ['RHp', 'LHp']]",None,"['RHp', 'RKe']",None,None,"['RHp', 'RKe']",None,"['RKe', 'RAk']",None,"['RKe', 'RAk']",None,None
11,"['RSh', 'REb']","['REb', 'RWr']",None,None,None,"['Nk', 'MHp']",None,"['RHp', 'RKe']",None,None,"['RHp', 'RKe']",None,"['RKe', 'RAk']",None,"['RKe', 'RAk']",None,None
12,None,None,None,None,None,"['Nk', 'MHp']",None,"['RHp', 'RKe']",None,None,"['RHp', 'RKe']",None,"['RKe', 'RAk']",None,"['RKe', 'RAk']",None,None
13,"['RSh', 'REb']","['REb', 'RWr']",None,None,None,"['Nk', 'MHp']",None,"['RHp', 'RKe']",None,None,"['RHp', 'RKe']",None,"['RKe', 'RAk']",None,"['RKe', 'RAk']",None,None
14,"['RSh', 'REb']","['REb', 'RWr']",None,None,"[['RSh', 'LSh'], ['RHp', 'LHp']]","[['RSh', 'LSh'], ['RHp', 'LHp']]",None,"['RHp', 'RKe']",None,None,"['RHp', 'RKe']","['LHp', 'LKe']","['RKe', 'RAk']","['LKe', 'LAk']","['RKe', 'RAk']","['LKe', 'LAk']",None
15,"['RSh', 'REb']","['REb', 'RWr']",None,None,"[['RSh', 'LSh'], ['RHp', 'LHp']]","[['RSh', 'Nk'], ['RHp', 'MHp']]",None,"['RHp', 'RKe']","[['RHp', 'LHp'], ['RKe', 'LKe']]",None,"['RHp', 'RKe']","['LHp', 'LKe']","['RKe', 'RAk']","['LKe', 'LAk']","['RKe', 'RAk']","['LKe', 'LAk']",None
